3300
112038
0    2    4
817    66    20
818    73    17
819    66    14
820    54    10
821    1    20
822    60    19
823    51    4
824    61    5
825    90    14
826    49    16
827    13    11
828    29    5
829    56    7
830    42    15
831    1    20
832    81    2
833    8    1
834    31    1
835    19    18
836    49    15
837    11    6
838    3    7
839    19    6
840    26    13
841    48    15
842    90    11
843    81    20
844    88    12
845    13    20
846    88    17
847    47    15
848    40    18
849    61    7
850    78    7
851    13    6
852    62    12
853    78    3
854    50    18
855    14    13
856    26    3
857    82    20
858    23    7
859    55    16
860    62    17
861    59    1
862    16    3
863    50    4
864    14    9
865    98    11
866    53    3
867    60    6
868    25    5
869    40    10
870    97    15
871    23    1
872    51    4
873    87    12
874    35    20
875    16    5
876    16    20
877    49    1
878    39    9
879    58    14
880    61    6
881    90    15
882    48    19
883    44    9
884    96    16
885    7    8
886    36    10
887    80    14
888    51    10
889    38    7
890    74    19
891    91    16
892    47    15
893    74    12
894    64    17
895    49    15
896    62    4
897    36    1
898    94    13
899    84    7
900    74    13
901    40    5
902    33    5
903    94    11
904    68    3
905    57    18
906    60    2
907    60    18
908    19    4
909    35    20
910    33    1
911    34    20
912    95    18
913    29    3
914    63    14
915    52    18
916    76    19
917    86    15
918    18    3
919    92    15
920    67    11
921    90    2
922    65    16
923    37    17
924    45    6
925    79    4
926    1    12
927    18    10
928    90    9
929    94    5
930    79    14
931    40    16
932    36    5
933    56    14
934    23    4
935    33    14
936    4    13
937    52    13
938    34    18
939    48    20
940    32    12
941    30    13
942    37    17
943    22    20
944    73    3
945    49    12
946    13    18
947    97    17
948    6    12
949    73    14
950    24    18
951    32    9
952    49    7
953    77    8
954    72    18
955    44    5
956    14    8
957    59    1
958    50    2
959    93    20
960    36    7
961    72    16
962    17    16
963    80    20
964    88    6
965    80    11
966    96    5
967    49    18
968    38    18
969    76    4
970    26    3
971    10    7
972    87    7
973    32    17
974    23    4
975    30    11
976    22    14
977    80    10
978    70    2
979    66    15
980    25    3
981    29    12
982    82    17
983    48    17
984    97    11
985    19    1
986    48    14
987    16    20
988    99    9
989    50    5
990    6    14
991    36    15
992    3    8
993    38    3
994    37    14
995    95    5
996    21    17
997    83    11
998    74    9
999    37    14
1000    66    1
1001    13    10
1002    56    20
1003    81    11
1004    31    1
1005    78    3
1006    94    9
1007    57    11
1008    87    20
1009    47    3
1010    28    16
1011    58    14
1012    99    14
1013    32    12
1014    17    16
1015    29    13
1016    54    20
1017    70    18
1018    6    15
1019    91    17
1020    28    2
1021    28    4
1022    42    14
1023    70    13
1024    56    20
1025    23    17
1026    23    8
1027    8    2
1028    43    1
1029    9    1
1030    14    6
1031    35    11
1032    64    4
1033    8    5
1034    28    4
1035    4    3
1036    6    18
1037    11    14
1038    17    11
1039    98    17
1040    8    14
1041    46    10
1042    43    20
1043    12    13
1044    46    10
1045    87    5
1046    52    3
1047    97    14
1048    96    8
1049    72    4
1050    88    6
1051    83    7
1052    59    13
1053    94    5
1054    92    2
1055    27    20
1056    64    14
1057    1    2
1058    79    15
1059    45    16
1060    41    17
1061    26    12
1062    62    2
1063    85    5
1064    74    3
1065    98    11
1066    12    11
1067    74    12
1068    15    13
1069    90    14
1070    81    18
1071    75    14
1072    34    9
1073    63    12
1074    35    11
1075    17    16
1076    35    11
1077    96    16
1078    2    17
1079    6    6
1080    64    10
1081    95    13
1082    43    17
1083    60    15
1084    49    7
1085    55    8
1086    33    12
1087    75    15
1088    23    2
1089    91    2
1090    37    6
1091    76    5
1092    16    3
1093    5    8
1094    57    6
1095    84    14
1096    93    10
1097    90    7
1098    21    5
1099    94    14
1100    64    12
1101    15    6
1102    3    14
1103    27    17
1104    55    11
1105    27    19
1106    52    17
1107    67    2
1108    2    6
1109    53    9
1110    63    10
1111    93    12
1112    40    6
1113    87    8
1114    100    4
1115    45    9
1116    59    20
1117    35    5
1118    100    16
1119    83    7
1120    44    2
1121    16    3
1122    17    20
1123    23    8
1124    40    18
1125    56    15
1126    82    3
1127    52    7
1128    52    11
1129    44    18
1130    93    17
1131    50    3
1132    27    7
1133    61    13
1134    95    19
1135    59    1
1136    19    5
1137    78    18
1138    11    10
1139    66    12
1140    31    10
1141    4    2
1142    39    9
1143    57    10
1144    21    3
1145    11    3
1146    56    1
1147    7    15
1148    84    9
1149    7    6
1150    21    14
1151    83    18
1152    76    1
1153    88    16
1154    17    9
1155    26    12
1156    77    14
1157    86    11
1158    7    2
1159    30    12
1160    58    6
1161    8    14
1162    22    14
1163    66    10
1164    75    3
1165    23    12
1166    77    15
1167    60    2
1168    40    14
1169    17    15
1170    30    17
1171    49    19
1172    79    5
1173    24    11
1174    47    10
1175    6    19
1176    42    15
1177    19    18
1178    31    17
1179    52    19
1180    89    20
1181    47    16
1182    15    8
1183    32    16
1184    88    13
1185    93    3
1186    91    17
1187    54    4
1188    77    19
1189    23    9
1190    19    6
1191    93    18
1192    22    14
1193    21    13
1194    31    17
1195    53    3
1196    91    18
1197    49    1
1198    29    12
1199    30    14
1200    46    15
1201    84    5
1202    95    15
1203    70    2
1204    83    3
1205    55    16
1206    55    8
1207    34    2
1208    94    16
1209    78    12
1210    74    8
1211    50    15
1212    7    2
1213    76    18
1214    29    13
1215    42    13
1216    71    13
1217    1    5
1218    11    4
1219    44    10
1220    9    5
1221    50    18
1222    64    16
1223    38    11
1224    41    15
1225    33    6
1226    15    7
1227    7    20
1228    23    18
1229    13    12
1230    58    6
1231    9    1
1232    69    1
1233    44    20
1234    61    20
1235    38    4
1236    10    19
1237    39    18
1238    49    7
1239    98    7
1240    77    7
1241    53    15
1242    68    1
1243    67    8
1244    21    7
1245    7    6
1246    6    19
1247    98    12
1248    16    13
1249    32    1
1250    78    7
1251    41    4
1252    83    20
1253    56    6
1254    19    13
1255    72    2
1256    18    17
1257    50    7
1258    74    2
1259    76    19
1260    61    7
1261    26    12
1262    55    3
1263    29    15
1264    27    18
1265    99    20
1266    64    8
1267    55    20
1268    25    10
1269    84    15
1270    49    8
1271    5    12
1272    20    5
1273    46    2
1274    94    11
1275    75    11
1276    36    12
1277    7    18
1278    92    5
1279    25    8
1280    77    16
1281    73    6
1282    90    5
1283    48    10
1284    12    6
1285    73    2
1286    10    15
1287    69    1
1288    62    2
1289    97    18
1290    15    1
1291    47    8
1292    88    17
1293    81    17
1294    69    3
1295    5    3
1296    2    14
1297    67    12
1298    100    18
1299    88    2
1300    93    3
1301    46    18
1302    92    2
1303    72    6
1304    98    5
1305    37    2
1306    73    2
1307    57    19
1308    47    18
1309    7    17
1310    33    3
1311    29    8
1312    35    4
1313    3    2
1314    77    14
1315    57    12
1316    63    20
1317    76    18
1318    38    12
1319    67    9
1320    11    8
1321    62    7
1322    22    9
1323    74    20
1324    5    16
1325    78    12
1326    47    12
1327    92    10
1328    3    8
1329    26    3
1330    100    16
1331    26    10
1332    96    8
1333    27    9
1334    46    2
1335    4    15
1336    65    3
1337    84    14
1338    24    8
1339    54    3
1340    18    14
1341    41    12
1342    16    5
1343    31    17
1344    37    9
1345    73    7
1346    30    14
1347    20    12
1348    85    9
1349    89    19
1350    58    14
1351    45    17
1352    28    11
1353    19    11
1354    1    16
1355    92    5
1356    89    15
1357    9    14
1358    67    1
1359    15    20
1360    46    15
1361    44    5
1362    30    16
1363    45    5
1364    29    4
1365    67    1
1366    2    7
1367    74    6
1368    73    11
1369    74    13
1370    93    8
1371    71    7
1372    37    1
1373    99    13
1374    1    3
1375    87    17
1376    44    7
1377    24    6
1378    55    9
1379    95    6
1380    16    18
1381    84    17
1382    69    12
1383    82    8
1384    4    15
1385    19    18
1386    67    9
1387    1    6
1388    21    16
1389    55    18
1390    21    13
1391    36    3
1392    50    3
1393    41    12
1394    76    18
1395    94    7
1396    60    12
1397    17    11
1398    57    6
1399    28    11
1400    22    20
1401    68    7
1402    54    19
1403    4    15
1404    31    7
1405    33    6
1406    3    17
1407    17    16
1408    35    10
1409    40    5
1410    12    15
1411    2    6
1412    30    13
1413    85    9
1414    61    1
1415    87    9
1416    99    6
1417    75    12
1418    96    1
1419    88    11
1420    23    10
1421    51    10
1422    38    8
1423    90    13
1424    90    6
1425    61    9
1426    71    14
1427    94    12
1428    6    12
1429    95    1
1430    79    3
1431    4    5
1432    49    3
1433    12    8
1434    55    6
1435    78    3
1436    74    5
1437    39    18
1438    3    1
1439    10    14
1440    71    11
1441    83    4
1442    8    4
1443    32    19
1444    47    19
1445    93    9
1446    37    14
1447    89    17
1448    81    3
1449    1    14
1450    52    17
1451    39    20
1452    97    6
1453    32    19
1454    9    4
1455    48    18
1456    25    14
1457    76    16
1458    73    1
1459    27    9
1460    98    14
1461    45    20
1462    77    20
1463    59    15
1464    29    1
1465    98    8
1466    18    14
1467    100    3
1468    64    11
1469    82    8
1470    22    2
1471    34    13
1472    27    6
1473    57    18
1474    87    15
1475    50    6
1476    94    7
1477    44    4
1478    77    11
1479    60    20
1480    48    15
1481    38    13
1482    19    20
1483    76    11
1484    35    10
1485    90    14
1486    21    4
1487    70    13
1488    8    12
1489    14    20
1490    56    11
1491    76    11
1492    69    3
1493    54    19
1494    87    19
1495    42    7
1496    54    18
1497    21    12
1498    77    7
1499    24    1
1500    78    17
1501    8    17
1502    69    20
1503    12    10
1504    43    13
1505    21    12
1506    36    13
1507    97    9
1508    59    4
1509    10    9
1510    74    11
1511    81    5
1512    94    7
1513    45    7
1514    97    11
1515    20    3
1516    60    10
1517    81    6
1518    95    20
1519    94    20
1520    27    12
1521    10    3
1522    18    7
1523    45    2
1524    29    8
1525    23    14
1526    41    2
1527    31    13
1528    20    11
1529    59    8
1530    45    9
1531    58    16
1532    2    1
1533    24    15
1534    96    19
1535    47    17
1536    40    17
1537    38    19
1538    93    16
1539    38    5
1540    100    18
1541    91    7
1542    5    16
1543    39    10
1544    70    12
1545    79    17
1546    2    16
1547    1    3
1548    67    16
1549    36    1
1550    60    6
1551    12    2
1552    16    17
1553    94    8
1554    28    7
1555    99    5
1556    2    2
1557    71    12
1558    21    8
1559    7    4
1560    91    6
1561    23    16
1562    77    10
1563    23    16
1564    6    18
1565    42    7
1566    47    20
1567    50    15
1568    86    7
1569    6    19
1570    33    18
1571    81    5
1572    1    14
1573    95    3
1574    85    15
1575    39    18
1576    11    11
1577    29    9
1578    55    12
1579    49    12
1580    1    6
1581    83    14
1582    25    18
1583    92    12
1584    28    6
1585    63    7
1586    52    5
1587    93    20
1588    75    11
1589    85    11
1590    82    8
1591    77    16
1592    11    1
1593    73    1
1594    78    13
1595    83    20
1596    45    1
1597    77    15
1598    43    14
1599    9    13
1600    83    1
1601    61    20
1602    52    7
1603    88    6
1604    21    2
1605    83    13
1606    9    17
1607    55    20
1608    65    3
1609    93    19
1610    51    9
1611    85    10
1612    5    19
1613    95    14
1614    81    1
1615    32    18
1616    79    19
1617    67    17
1618    23    17
1619    8    10
1620    75    8
1621    62    3
1622    65    10
1623    61    11
1624    24    9
1625    47    9
1626    89    16
1627    100    3
1628    76    13
1629    95    20
1630    60    1
1631    33    16
1632    35    14
1633    96    5
1634    100    17
1635    56    2
1636    92    13
1637    87    11
1638    80    5
1639    75    14
1640    78    19
1641    41    7
1642    59    1
1643    21    11
1644    14    5
1645    98    11
1646    100    13
1647    4    6
1648    40    5
1649    30    20
1650    26    1
1651    70    15
1652    46    6
1653    85    2
1654    42    8
1655    36    3
1656    27    12
1657    35    5
1658    83    6
1659    50    6
1660    71    20
1661    19    12
1662    45    15
1663    86    11
1664    4    6
1665    54    20
1666    92    17
1667    90    16
1668    44    16
1669    59    9
1670    56    17
1671    13    13
1672    67    9
1673    46    1
1674    29    2
1675    34    5
1676    72    8
1677    70    1
1678    67    8
1679    28    10
1680    27    7
1681    98    18
1682    87    4
1683    84    5
1684    75    3
1685    45    5
1686    66    8
1687    7    15
1688    22    3
1689    51    16
1690    20    7
1691    51    9
1692    67    5
1693    94    20
1694    53    11
1695    77    4
1696    52    13
1697    76    7
1698    70    15
1699    54    2
1700    14    17
1701    7    9
1702    91    20
1703    23    19
1704    16    11
1705    18    1
1706    77    8
1707    52    11
1708    10    8
1709    83    7
1710    64    10
1711    14    2
1712    55    12
1713    57    1
1714    45    9
1715    19    3
1716    31    11
1717    50    17
1718    69    20
1719    87    15
1720    69    2
1721    67    6
1722    56    8
1723    96    11
1724    17    2
1725    31    1
1726    92    5
1727    90    14
1728    93    14
1729    92    1
1730    100    14
1731    16    12
1732    8    8
1733    89    18
1734    44    14
1735    90    19
1736    34    8
1737    28    6
1738    87    4
1739    64    8
1740    50    10
1741    77    13
1742    70    2
1743    76    11
1744    15    17
1745    26    2
1746    72    19
1747    5    3
1748    94    9
1749    38    18
1750    66    12
1751    47    17
1752    83    16
1753    81    2
1754    29    16
1755    92    18
1756    28    3
1757    19    1
1758    70    12
1759    100    16
1760    74    10
1761    94    5
1762    30    11
1763    37    19
1764    48    14
1765    97    15
1766    8    6
1767    32    10
1768    71    1
1769    44    14
1770    83    15
1771    12    3
1772    9    2
1773    61    16
1774    61    9
1775    14    19
1776    9    15
1777    29    15
1778    38    6
1779    21    10
1780    44    16
1781    76    8
1782    38    11
1783    50    1
1784    11    4
1785    55    10
1786    59    14
1787    43    15
1788    40    8
1789    80    2
1790    27    17
1791    91    9
1792    56    12
1793    12    14
1794    81    16
1795    85    10
1796    14    6
1797    88    20
1798    62    11
1799    95    17
1800    78    1
1801    91    10
1802    48    5
1803    53    13
1804    93    15
1805    84    8
1806    61    8
1807    69    15
1808    66    12
1809    90    20
1810    24    11
1811    99    19
1812    34    16
1813    74    20
1814    93    14
1815    71    19
1816    17    5
1817    78    13
1818    44    13
1819    74    1
1820    58    12
1821    84    2
1822    41    3
1823    60    12
1824    36    5
1825    91    13
1826    76    12
1827    100    12
1828    81    10
1829    63    19
1830    36    5
1831    38    14
1832    34    19
1833    20    18
1834    88    9
1835    80    5
1836    32    9
1837    44    3
1838    75    16
1839    86    1
1840    40    11
1841    81    13
1842    28    5
1843    29    11
1844    40    3
1845    57    18
1846    59    14
1847    74    13
1848    67    13
1849    8    12
1850    16    10
1851    15    8
1852    56    7
1853    94    16
1854    35    8
1855    16    15
1856    86    18
1857    43    17
1858    86    2
1859    51    6
1860    46    19
1861    98    5
1862    75    10
1863    83    3
1864    99    12
1865    60    5
1866    74    2
1867    13    6
1868    43    9
1869    54    9
1870    59    20
1871    15    17
1872    16    5
1873    81    16
1874    65    14
1875    99    2
1876    85    4
1877    86    2
1878    67    2
1879    12    3
1880    19    12
1881    45    19
1882    99    16
1883    46    10
1884    82    18
1885    23    12
1886    82    6
1887    80    2
1888    54    1
1889    69    6
1890    17    12
1891    45    15
1892    99    14
1893    50    3
1894    37    17
1895    3    16
1896    67    17
1897    61    12
1898    2    10
1899    15    14
1900    99    3
1901    74    15
1902    93    1
1903    66    19
1904    9    9
1905    77    11
1906    54    2
1907    37    10
1908    83    2
1909    61    9
1910    91    1
1911    78    2
1912    75    2
1913    85    3
1914    23    15
1915    24    19
1916    10    8
1917    23    18
1918    33    14
1919    63    8
1920    11    10
1921    88    13
1922    13    20
1923    70    2
1924    91    16
1925    49    19
1926    66    3
1927    20    9
1928    25    11
1929    31    1
1930    36    2
1931    70    7
1932    29    16
1933    59    10
1934    81    4
1935    41    20
1936    93    14
1937    100    7
1938    52    11
1939    10    7
1940    63    14
1941    72    19
1942    98    4
1943    50    11
1944    75    15
1945    89    11
1946    17    4
1947    40    18
1948    48    9
1949    41    18
1950    24    10
1951    60    9
1952    5    15
1953    66    11
1954    86    14
1955    33    17
1956    82    10
1957    88    18
1958    80    5
1959    74    6
1960    92    6
1961    69    18
1962    52    18
1963    30    5
1964    27    10
1965    52    10
1966    29    9
1967    13    5
1968    58    1
1969    70    2
1970    82    9
1971    69    14
1972    5    9
1973    52    15
1974    63    16
1975    8    9
1976    21    3
1977    64    18
1978    18    15
1979    8    4
1980    77    11
1981    37    18
1982    72    9
1983    96    17
1984    67    4
1985    53    3
1986    87    4
1987    63    6
1988    48    7
1989    66    3
1990    96    16
1991    29    11
1992    81    14
1993    22    4
1994    66    12
1995    2    2
1996    66    9
1997    44    15
1998    39    1
1999    93    15
2000    21    20
2001    52    19
2002    37    4
2003    13    14
2004    78    4
2005    98    16
2006    61    13
2007    44    10
2008    80    20
2009    39    19
2010    57    9
2011    21    13
2012    32    12
2013    72    20
2014    31    11
2015    67    4
2016    32    11
2017    31    17
2018    65    7
2019    72    9
2020    43    11
2021    67    18
2022    39    7
2023    12    9
2024    13    1
2025    30    11
2026    34    18
2027    21    18
2028    59    9
2029    51    8
2030    30    11
2031    15    7
2032    20    4
2033    73    12
2034    33    19
2035    20    16
2036    2    10
2037    56    5
2038    25    16
2039    63    1
2040    43    18
2041    6    17
2042    62    17
2043    9    16
2044    17    15
2045    78    20
2046    31    1
2047    1    12
2048    8    14
2049    55    15
2050    3    18
2051    27    9
2052    51    7
2053    53    8
2054    16    12
2055    68    19
2056    12    12
2057    11    4
2058    97    15
2059    50    11
2060    88    20
2061    6    6
2062    59    1
2063    52    3
2064    64    13
2065    41    9
2066    37    7
2067    82    12
2068    71    16
2069    57    11
2070    75    17
2071    41    3
2072    42    4
2073    41    8
2074    16    6
2075    86    9
2076    90    16
2077    91    8
2078    25    14
2079    42    5
2080    25    15
2081    63    10
2082    38    4
2083    65    6
2084    90    6
2085    96    11
2086    5    1
2087    25    17
2088    65    2
2089    65    16
2090    3    5
2091    40    13
2092    15    3
2093    23    9
2094    57    8
2095    9    11
2096    32    12
2097    84    15
2098    81    12
2099    16    17
2100    91    10
2101    75    9
2102    68    19
2103    88    3
2104    95    9
2105    61    2
2106    83    5
2107    42    2
2108    87    2
2109    50    17
2110    99    17
2111    99    17
2112    75    19
2113    56    14
2114    3    15
2115    22    16
2116    33    15
2117    62    4
2118    32    15
2119    7    20
2120    76    6
2121    84    9
2122    35    19
2123    98    9
2124    82    3
2125    1    3
2126    91    12
2127    13    4
2128    6    4
2129    18    7
2130    42    14
2131    74    1
2132    13    14
2133    85    3
2134    18    2
2135    62    7
2136    24    18
2137    88    18
2138    46    1
2139    70    9
